

===============TRANSPORTE.MODAL================
PERIODO	MODAL	LOCAL	LOCAL	QUANT	(%)OCUP
[4]	[M1]	[F1]	[C1]:	41	7%
[4]	[M1]	[F1]	[C1]:	19	3%
[4]	[M1]	[F1]	[C1]:	9	2%
[4]	[M1]	[F1]	[C1]:	27	5%
[4]	[M1]	[F1]	[C1]:	21	4%
[4]	[M1]	[F1]	[C1]:	37	6%
[4]	[M1]	[F1]	[C2]:	15	3%
[4]	[M1]	[F1]	[C2]:	5	1%
[4]	[M1]	[F1]	[C2]:	7	1%
[4]	[M1]	[F1]	[C2]:	8	1%
[4]	[M1]	[F1]	[C2]:	4	1%
[4]	[M1]	[F1]	[C2]:	11	2%
[4]	[M4]	[F1]	[C3]:	1	0%
[4]	[M4]	[F1]	[C3]:	3	0%
[4]	[M4]	[F1]	[C3]:	1	0%
[4]	[M4]	[F1]	[C3]:	1	0%
[4]	[M4]	[F1]	[C3]:	1	0%
[4]	[M4]	[F1]	[C3]:	1	0%
[5]	[M1]	[F1]	[C1]:	41	7%
[5]	[M1]	[F1]	[C1]:	19	3%
[5]	[M1]	[F1]	[C1]:	9	2%
[5]	[M1]	[F1]	[C1]:	27	5%
[5]	[M1]	[F1]	[C1]:	21	4%
[5]	[M1]	[F1]	[C1]:	37	6%
[5]	[M1]	[F1]	[C2]:	15	3%
[5]	[M1]	[F1]	[C2]:	5	1%
[5]	[M1]	[F1]	[C2]:	7	1%
[5]	[M1]	[F1]	[C2]:	8	1%
[5]	[M1]	[F1]	[C2]:	4	1%
[5]	[M1]	[F1]	[C2]:	11	2%
[5]	[M4]	[F1]	[C3]:	1	0%
[5]	[M4]	[F1]	[C3]:	3	0%
[5]	[M4]	[F1]	[C3]:	1	0%
[5]	[M4]	[F1]	[C3]:	1	0%
[5]	[M4]	[F1]	[C3]:	1	0%
[5]	[M4]	[F1]	[C3]:	1	0%
[6]	[M1]	[F1]	[C1]:	41	7%
[6]	[M1]	[F1]	[C1]:	19	3%
[6]	[M1]	[F1]	[C1]:	9	2%
[6]	[M1]	[F1]	[C1]:	27	5%
[6]	[M1]	[F1]	[C1]:	21	4%
[6]	[M1]	[F1]	[C1]:	37	6%
[6]	[M1]	[F1]	[C2]:	15	3%
[6]	[M1]	[F1]	[C2]:	5	1%
[6]	[M1]	[F1]	[C2]:	7	1%
[6]	[M1]	[F1]	[C2]:	8	1%
[6]	[M1]	[F1]	[C2]:	4	1%
[6]	[M1]	[F1]	[C2]:	11	2%
[6]	[M4]	[F1]	[C3]:	1	0%
[6]	[M4]	[F1]	[C3]:	3	0%
[6]	[M4]	[F1]	[C3]:	1	0%
[6]	[M4]	[F1]	[C3]:	1	0%
[6]	[M4]	[F1]	[C3]:	1	0%
[6]	[M4]	[F1]	[C3]:	1	0%
[7]	[M1]	[F1]	[C1]:	41	7%
[7]	[M1]	[F1]	[C1]:	19	3%
[7]	[M1]	[F1]	[C1]:	9	2%
[7]	[M1]	[F1]	[C1]:	27	5%
[7]	[M1]	[F1]	[C1]:	21	4%
[7]	[M1]	[F1]	[C1]:	37	6%
[7]	[M1]	[F1]	[C2]:	15	3%
[7]	[M1]	[F1]	[C2]:	5	1%
[7]	[M1]	[F1]	[C2]:	7	1%
[7]	[M1]	[F1]	[C2]:	8	1%
[7]	[M1]	[F1]	[C2]:	4	1%
[7]	[M1]	[F1]	[C2]:	11	2%
[7]	[M4]	[F1]	[C3]:	1	0%
[7]	[M4]	[F1]	[C3]:	3	0%
[7]	[M4]	[F1]	[C3]:	1	0%
[7]	[M4]	[F1]	[C3]:	1	0%
[7]	[M4]	[F1]	[C3]:	1	0%
[7]	[M4]	[F1]	[C3]:	1	0%
[8]	[M1]	[F1]	[C1]:	41	7%
[8]	[M1]	[F1]	[C1]:	19	3%
[8]	[M1]	[F1]	[C1]:	9	2%
[8]	[M1]	[F1]	[C1]:	27	5%
[8]	[M1]	[F1]	[C1]:	21	4%
[8]	[M1]	[F1]	[C1]:	37	6%
[8]	[M1]	[F1]	[C2]:	15	3%
[8]	[M1]	[F1]	[C2]:	5	1%
[8]	[M1]	[F1]	[C2]:	7	1%
[8]	[M1]	[F1]	[C2]:	8	1%
[8]	[M1]	[F1]	[C2]:	4	1%
[8]	[M1]	[F1]	[C2]:	11	2%
[8]	[M4]	[F1]	[C3]:	1	0%
[8]	[M4]	[F1]	[C3]:	3	0%
[8]	[M4]	[F1]	[C3]:	1	0%
[8]	[M4]	[F1]	[C3]:	1	0%
[8]	[M4]	[F1]	[C3]:	1	0%
[8]	[M4]	[F1]	[C3]:	1	0%
[9]	[M1]	[F1]	[C1]:	41	7%
[9]	[M1]	[F1]	[C1]:	19	3%
[9]	[M1]	[F1]	[C1]:	9	2%
[9]	[M1]	[F1]	[C1]:	27	5%
[9]	[M1]	[F1]	[C1]:	21	4%
[9]	[M1]	[F1]	[C1]:	37	6%
[9]	[M1]	[F1]	[C2]:	15	3%
[9]	[M1]	[F1]	[C2]:	5	1%
[9]	[M1]	[F1]	[C2]:	7	1%
[9]	[M1]	[F1]	[C2]:	8	1%
[9]	[M1]	[F1]	[C2]:	4	1%
[9]	[M1]	[F1]	[C2]:	11	2%
[9]	[M4]	[F1]	[C3]:	1	0%
[9]	[M4]	[F1]	[C3]:	3	0%
[9]	[M4]	[F1]	[C3]:	1	0%
[9]	[M4]	[F1]	[C3]:	1	0%
[9]	[M4]	[F1]	[C3]:	1	0%
[9]	[M4]	[F1]	[C3]:	1	0%
[10]	[M1]	[F1]	[C1]:	41	7%
[10]	[M1]	[F1]	[C1]:	19	3%
[10]	[M1]	[F1]	[C1]:	9	2%
[10]	[M1]	[F1]	[C1]:	27	5%
[10]	[M1]	[F1]	[C1]:	21	4%
[10]	[M1]	[F1]	[C1]:	37	6%
[10]	[M1]	[F1]	[C2]:	15	3%
[10]	[M1]	[F1]	[C2]:	5	1%
[10]	[M1]	[F1]	[C2]:	7	1%
[10]	[M1]	[F1]	[C2]:	8	1%
[10]	[M1]	[F1]	[C2]:	4	1%
[10]	[M1]	[F1]	[C2]:	11	2%
[10]	[M4]	[F1]	[C3]:	1	0%
[10]	[M4]	[F1]	[C3]:	3	0%
[10]	[M4]	[F1]	[C3]:	1	0%
[10]	[M4]	[F1]	[C3]:	1	0%
[10]	[M4]	[F1]	[C3]:	1	0%
[10]	[M4]	[F1]	[C3]:	1	0%
[11]	[M1]	[F1]	[C1]:	41	7%
[11]	[M1]	[F1]	[C1]:	19	3%
[11]	[M1]	[F1]	[C1]:	9	2%
[11]	[M1]	[F1]	[C1]:	27	5%
[11]	[M1]	[F1]	[C1]:	21	4%
[11]	[M1]	[F1]	[C2]:	15	3%
[11]	[M1]	[F1]	[C2]:	5	1%
[11]	[M1]	[F1]	[C2]:	7	1%
[11]	[M1]	[F1]	[C2]:	8	1%
[11]	[M1]	[F1]	[C2]:	4	1%
[11]	[M1]	[F1]	[C2]:	11	2%
[11]	[M1]	[F1]	[C3]:	1	0%
[11]	[M1]	[F1]	[C3]:	3	1%
[11]	[M1]	[F1]	[C3]:	1	0%
[11]	[M1]	[F1]	[C3]:	1	0%
[11]	[M1]	[F1]	[C3]:	1	0%
[11]	[M1]	[F1]	[C3]:	1	0%
[11]	[M2]	[F1]	[C1]:	37	2%
[12]	[M1]	[F1]	[C1]:	41	7%
[12]	[M1]	[F1]	[C1]:	19	3%
[12]	[M1]	[F1]	[C1]:	9	2%
[12]	[M1]	[F1]	[C1]:	27	5%
[12]	[M1]	[F1]	[C1]:	21	4%
[12]	[M1]	[F1]	[C1]:	37	6%
[12]	[M1]	[F1]	[C2]:	15	3%
[12]	[M1]	[F1]	[C2]:	5	1%
[12]	[M1]	[F1]	[C2]:	7	1%
[12]	[M1]	[F1]	[C2]:	8	1%
[12]	[M1]	[F1]	[C2]:	4	1%
[12]	[M1]	[F1]	[C2]:	11	2%
[12]	[M1]	[F1]	[C3]:	1	0%
[12]	[M1]	[F1]	[C3]:	3	1%
[12]	[M1]	[F1]	[C3]:	1	0%
[12]	[M1]	[F1]	[C3]:	1	0%
[12]	[M1]	[F1]	[C3]:	1	0%
[12]	[M1]	[F1]	[C3]:	1	0%
