

===============PROD.MAQUINAS===============
PERIODO	LOCAL	MAQUINA	PRODUTO	QUANTIDADE
[3]	[F1]	[R1E]	[Y7]:	36.00
[3]	[F1]	[R1E]	[Y8]:	26.00
[3]	[F1]	[R1E]	[Y10]:	49.00
[4]	[F1]	[R1A]	[Y3]:	57.00
[4]	[F1]	[R1A]	[Y4]:	27.00
[4]	[F1]	[R1A]	[Y6]:	17.00
[4]	[F1]	[R1A]	[Y7]:	36.00
[4]	[F1]	[R1A]	[Y8]:	26.00
[4]	[F1]	[R1A]	[Y10]:	49.00
[4]	[F1]	[R1B]	[Y3]:	57.00
[4]	[F1]	[R1B]	[Y4]:	27.00
[4]	[F1]	[R1B]	[Y6]:	17.00
[4]	[F1]	[R1B]	[Y7]:	36.00
[4]	[F1]	[R1B]	[Y8]:	26.00
[4]	[F1]	[R1B]	[Y10]:	49.00
[4]	[F1]	[R1C]	[Y3]:	57.00
[4]	[F1]	[R1C]	[Y4]:	27.00
[4]	[F1]	[R1C]	[Y6]:	17.00
[4]	[F1]	[R1C]	[Y7]:	36.00
[4]	[F1]	[R1C]	[Y8]:	26.00
[4]	[F1]	[R1C]	[Y10]:	49.00
[4]	[F1]	[R1D]	[Y3]:	57.00
[4]	[F1]	[R1D]	[Y4]:	27.00
[4]	[F1]	[R1D]	[Y6]:	17.00
[4]	[F1]	[R1D]	[Y7]:	36.00
[4]	[F1]	[R1D]	[Y8]:	26.00
[4]	[F1]	[R1D]	[Y10]:	49.00
[4]	[F1]	[R1E]	[Y3]:	57.00
[4]	[F1]	[R1E]	[Y4]:	27.00
[4]	[F1]	[R1E]	[Y6]:	17.00
[4]	[F1]	[R1E]	[Y7]:	36.00
[4]	[F1]	[R1E]	[Y8]:	26.00
[4]	[F1]	[R1E]	[Y10]:	49.00
[5]	[F1]	[R1A]	[Y3]:	57.00
[5]	[F1]	[R1A]	[Y4]:	27.00
[5]	[F1]	[R1A]	[Y6]:	17.00
[5]	[F1]	[R1A]	[Y7]:	36.00
[5]	[F1]	[R1A]	[Y8]:	26.00
[5]	[F1]	[R1A]	[Y10]:	49.00
[5]	[F1]	[R1B]	[Y3]:	57.00
[5]	[F1]	[R1B]	[Y4]:	27.00
[5]	[F1]	[R1B]	[Y6]:	17.00
[5]	[F1]	[R1B]	[Y7]:	36.00
[5]	[F1]	[R1B]	[Y8]:	26.00
[5]	[F1]	[R1B]	[Y10]:	49.00
[5]	[F1]	[R1C]	[Y3]:	57.00
[5]	[F1]	[R1C]	[Y4]:	27.00
[5]	[F1]	[R1C]	[Y6]:	17.00
[5]	[F1]	[R1C]	[Y7]:	36.00
[5]	[F1]	[R1C]	[Y8]:	26.00
[5]	[F1]	[R1C]	[Y10]:	49.00
[5]	[F1]	[R1D]	[Y3]:	57.00
[5]	[F1]	[R1D]	[Y4]:	27.00
[5]	[F1]	[R1D]	[Y6]:	17.00
[5]	[F1]	[R1D]	[Y7]:	36.00
[5]	[F1]	[R1D]	[Y8]:	26.00
[5]	[F1]	[R1D]	[Y10]:	49.00
[5]	[F1]	[R1E]	[Y3]:	57.00
[5]	[F1]	[R1E]	[Y4]:	27.00
[5]	[F1]	[R1E]	[Y6]:	17.00
[5]	[F1]	[R1E]	[Y7]:	36.00
[5]	[F1]	[R1E]	[Y8]:	26.00
[5]	[F1]	[R1E]	[Y10]:	49.00
[6]	[F1]	[R1A]	[Y3]:	57.00
[6]	[F1]	[R1A]	[Y4]:	27.00
[6]	[F1]	[R1A]	[Y6]:	17.00
[6]	[F1]	[R1A]	[Y7]:	36.00
[6]	[F1]	[R1A]	[Y8]:	26.00
[6]	[F1]	[R1A]	[Y10]:	49.00
[6]	[F1]	[R1B]	[Y3]:	57.00
[6]	[F1]	[R1B]	[Y4]:	27.00
[6]	[F1]	[R1B]	[Y6]:	17.00
[6]	[F1]	[R1B]	[Y7]:	36.00
[6]	[F1]	[R1B]	[Y8]:	26.00
[6]	[F1]	[R1B]	[Y10]:	49.00
[6]	[F1]	[R1C]	[Y3]:	57.00
[6]	[F1]	[R1C]	[Y4]:	27.00
[6]	[F1]	[R1C]	[Y6]:	17.00
[6]	[F1]	[R1C]	[Y7]:	36.00
[6]	[F1]	[R1C]	[Y8]:	26.00
[6]	[F1]	[R1C]	[Y10]:	49.00
[6]	[F1]	[R1D]	[Y3]:	57.00
[6]	[F1]	[R1D]	[Y4]:	27.00
[6]	[F1]	[R1D]	[Y6]:	17.00
[6]	[F1]	[R1D]	[Y7]:	36.00
[6]	[F1]	[R1D]	[Y8]:	26.00
[6]	[F1]	[R1D]	[Y10]:	49.00
[6]	[F1]	[R1E]	[Y3]:	57.00
[6]	[F1]	[R1E]	[Y4]:	27.00
[6]	[F1]	[R1E]	[Y6]:	17.00
[6]	[F1]	[R1E]	[Y7]:	36.00
[6]	[F1]	[R1E]	[Y8]:	26.00
[6]	[F1]	[R1E]	[Y10]:	49.00
[7]	[F1]	[R1A]	[Y3]:	57.00
[7]	[F1]	[R1A]	[Y4]:	27.00
[7]	[F1]	[R1A]	[Y6]:	17.00
[7]	[F1]	[R1A]	[Y7]:	36.00
[7]	[F1]	[R1A]	[Y8]:	26.00
[7]	[F1]	[R1A]	[Y10]:	49.00
[7]	[F1]	[R1B]	[Y3]:	57.00
[7]	[F1]	[R1B]	[Y4]:	27.00
[7]	[F1]	[R1B]	[Y6]:	17.00
[7]	[F1]	[R1B]	[Y7]:	36.00
[7]	[F1]	[R1B]	[Y8]:	26.00
[7]	[F1]	[R1B]	[Y10]:	49.00
[7]	[F1]	[R1C]	[Y3]:	57.00
[7]	[F1]	[R1C]	[Y4]:	27.00
[7]	[F1]	[R1C]	[Y6]:	17.00
[7]	[F1]	[R1C]	[Y7]:	36.00
[7]	[F1]	[R1C]	[Y8]:	26.00
[7]	[F1]	[R1C]	[Y10]:	49.00
[7]	[F1]	[R1D]	[Y3]:	57.00
[7]	[F1]	[R1D]	[Y4]:	27.00
[7]	[F1]	[R1D]	[Y6]:	17.00
[7]	[F1]	[R1D]	[Y7]:	36.00
[7]	[F1]	[R1D]	[Y8]:	26.00
[7]	[F1]	[R1D]	[Y10]:	49.00
[7]	[F1]	[R1E]	[Y3]:	57.00
[7]	[F1]	[R1E]	[Y4]:	27.00
[7]	[F1]	[R1E]	[Y6]:	17.00
[7]	[F1]	[R1E]	[Y7]:	36.00
[7]	[F1]	[R1E]	[Y8]:	26.00
[7]	[F1]	[R1E]	[Y10]:	49.00
[8]	[F1]	[R1A]	[Y3]:	57.00
[8]	[F1]	[R1A]	[Y4]:	27.00
[8]	[F1]	[R1A]	[Y6]:	17.00
[8]	[F1]	[R1A]	[Y7]:	36.00
[8]	[F1]	[R1A]	[Y8]:	26.00
[8]	[F1]	[R1A]	[Y10]:	49.00
[8]	[F1]	[R1B]	[Y3]:	57.00
[8]	[F1]	[R1B]	[Y4]:	27.00
[8]	[F1]	[R1B]	[Y6]:	17.00
[8]	[F1]	[R1B]	[Y7]:	36.00
[8]	[F1]	[R1B]	[Y8]:	26.00
[8]	[F1]	[R1B]	[Y10]:	49.00
[8]	[F1]	[R1C]	[Y3]:	57.00
[8]	[F1]	[R1C]	[Y4]:	27.00
[8]	[F1]	[R1C]	[Y6]:	17.00
[8]	[F1]	[R1C]	[Y7]:	36.00
[8]	[F1]	[R1C]	[Y8]:	26.00
[8]	[F1]	[R1C]	[Y10]:	49.00
[8]	[F1]	[R1D]	[Y3]:	57.00
[8]	[F1]	[R1D]	[Y4]:	27.00
[8]	[F1]	[R1D]	[Y6]:	17.00
[8]	[F1]	[R1D]	[Y7]:	36.00
[8]	[F1]	[R1D]	[Y8]:	26.00
[8]	[F1]	[R1D]	[Y10]:	49.00
[8]	[F1]	[R1E]	[Y3]:	57.00
[8]	[F1]	[R1E]	[Y4]:	27.00
[8]	[F1]	[R1E]	[Y6]:	17.00
[8]	[F1]	[R1E]	[Y7]:	36.00
[8]	[F1]	[R1E]	[Y8]:	26.00
[8]	[F1]	[R1E]	[Y10]:	49.00
[9]	[F1]	[R1A]	[Y3]:	57.00
[9]	[F1]	[R1A]	[Y4]:	27.00
[9]	[F1]	[R1A]	[Y6]:	17.00
[9]	[F1]	[R1A]	[Y7]:	36.00
[9]	[F1]	[R1A]	[Y8]:	26.00
[9]	[F1]	[R1A]	[Y10]:	49.00
[9]	[F1]	[R1B]	[Y3]:	57.00
[9]	[F1]	[R1B]	[Y4]:	27.00
[9]	[F1]	[R1B]	[Y6]:	17.00
[9]	[F1]	[R1B]	[Y7]:	36.00
[9]	[F1]	[R1B]	[Y8]:	26.00
[9]	[F1]	[R1B]	[Y10]:	49.00
[9]	[F1]	[R1C]	[Y3]:	57.00
[9]	[F1]	[R1C]	[Y4]:	27.00
[9]	[F1]	[R1C]	[Y6]:	17.00
[9]	[F1]	[R1C]	[Y7]:	36.00
[9]	[F1]	[R1C]	[Y8]:	26.00
[9]	[F1]	[R1C]	[Y10]:	49.00
[9]	[F1]	[R1D]	[Y3]:	57.00
[9]	[F1]	[R1D]	[Y4]:	27.00
[9]	[F1]	[R1D]	[Y6]:	17.00
[9]	[F1]	[R1D]	[Y7]:	36.00
[9]	[F1]	[R1D]	[Y8]:	26.00
[9]	[F1]	[R1D]	[Y10]:	49.00
[9]	[F1]	[R1E]	[Y3]:	57.00
[9]	[F1]	[R1E]	[Y4]:	27.00
[9]	[F1]	[R1E]	[Y6]:	17.00
[9]	[F1]	[R1E]	[Y7]:	36.00
[9]	[F1]	[R1E]	[Y8]:	26.00
[9]	[F1]	[R1E]	[Y10]:	49.00
[10]	[F1]	[R1A]	[Y3]:	57.00
[10]	[F1]	[R1A]	[Y4]:	27.00
[10]	[F1]	[R1A]	[Y6]:	17.00
[10]	[F1]	[R1A]	[Y7]:	36.00
[10]	[F1]	[R1A]	[Y8]:	26.00
[10]	[F1]	[R1A]	[Y10]:	49.00
[10]	[F1]	[R1B]	[Y3]:	57.00
[10]	[F1]	[R1B]	[Y4]:	27.00
[10]	[F1]	[R1B]	[Y6]:	17.00
[10]	[F1]	[R1B]	[Y7]:	36.00
[10]	[F1]	[R1B]	[Y8]:	26.00
[10]	[F1]	[R1B]	[Y10]:	49.00
[10]	[F1]	[R1C]	[Y3]:	57.00
[10]	[F1]	[R1C]	[Y4]:	27.00
[10]	[F1]	[R1C]	[Y6]:	17.00
[10]	[F1]	[R1C]	[Y7]:	36.00
[10]	[F1]	[R1C]	[Y8]:	26.00
[10]	[F1]	[R1C]	[Y10]:	49.00
[10]	[F1]	[R1D]	[Y3]:	57.00
[10]	[F1]	[R1D]	[Y4]:	27.00
[10]	[F1]	[R1D]	[Y6]:	17.00
[10]	[F1]	[R1D]	[Y7]:	36.00
[10]	[F1]	[R1D]	[Y8]:	26.00
[10]	[F1]	[R1D]	[Y10]:	49.00
[10]	[F1]	[R1E]	[Y3]:	57.00
[10]	[F1]	[R1E]	[Y4]:	27.00
[10]	[F1]	[R1E]	[Y6]:	17.00
[10]	[F1]	[R1E]	[Y7]:	36.00
[10]	[F1]	[R1E]	[Y8]:	26.00
[10]	[F1]	[R1E]	[Y10]:	49.00
[11]	[F1]	[R1A]	[Y3]:	57.00
[11]	[F1]	[R1A]	[Y4]:	27.00
[11]	[F1]	[R1A]	[Y6]:	17.00
[11]	[F1]	[R1A]	[Y7]:	36.00
[11]	[F1]	[R1A]	[Y8]:	26.00
[11]	[F1]	[R1A]	[Y10]:	49.00
[11]	[F1]	[R1B]	[Y3]:	57.00
[11]	[F1]	[R1B]	[Y4]:	27.00
[11]	[F1]	[R1B]	[Y6]:	17.00
[11]	[F1]	[R1B]	[Y7]:	36.00
[11]	[F1]	[R1B]	[Y8]:	26.00
[11]	[F1]	[R1B]	[Y10]:	49.00
[11]	[F1]	[R1C]	[Y3]:	57.00
[11]	[F1]	[R1C]	[Y4]:	27.00
[11]	[F1]	[R1C]	[Y6]:	17.00
[11]	[F1]	[R1C]	[Y7]:	36.00
[11]	[F1]	[R1C]	[Y8]:	26.00
[11]	[F1]	[R1C]	[Y10]:	49.00
[11]	[F1]	[R1D]	[Y3]:	57.00
[11]	[F1]	[R1D]	[Y4]:	27.00
[11]	[F1]	[R1D]	[Y6]:	17.00
[11]	[F1]	[R1D]	[Y7]:	36.00
[11]	[F1]	[R1D]	[Y8]:	26.00
[11]	[F1]	[R1D]	[Y10]:	49.00
[11]	[F1]	[R1E]	[Y3]:	57.00
[11]	[F1]	[R1E]	[Y4]:	27.00
[11]	[F1]	[R1E]	[Y6]:	17.00
[11]	[F1]	[R1E]	[Y7]:	36.00
[11]	[F1]	[R1E]	[Y8]:	26.00
[11]	[F1]	[R1E]	[Y10]:	49.00
[12]	[F1]	[R1A]	[Y3]:	57.00
[12]	[F1]	[R1A]	[Y4]:	27.00
[12]	[F1]	[R1A]	[Y6]:	17.00
[12]	[F1]	[R1A]	[Y7]:	36.00
[12]	[F1]	[R1A]	[Y8]:	26.00
[12]	[F1]	[R1A]	[Y10]:	49.00
[12]	[F1]	[R1B]	[Y3]:	57.00
[12]	[F1]	[R1B]	[Y4]:	27.00
[12]	[F1]	[R1B]	[Y6]:	17.00
[12]	[F1]	[R1B]	[Y7]:	36.00
[12]	[F1]	[R1B]	[Y8]:	26.00
[12]	[F1]	[R1B]	[Y10]:	49.00
[12]	[F1]	[R1C]	[Y3]:	57.00
[12]	[F1]	[R1C]	[Y4]:	27.00
[12]	[F1]	[R1C]	[Y6]:	17.00
[12]	[F1]	[R1C]	[Y7]:	36.00
[12]	[F1]	[R1C]	[Y8]:	26.00
[12]	[F1]	[R1C]	[Y10]:	49.00
[12]	[F1]	[R1D]	[Y3]:	57.00
[12]	[F1]	[R1D]	[Y4]:	27.00
[12]	[F1]	[R1D]	[Y6]:	17.00
[12]	[F1]	[R1D]	[Y7]:	36.00
[12]	[F1]	[R1D]	[Y8]:	26.00
[12]	[F1]	[R1D]	[Y10]:	49.00
[12]	[F1]	[R1E]	[Y3]:	57.00
[12]	[F1]	[R1E]	[Y4]:	27.00
[12]	[F1]	[R1E]	[Y6]:	17.00
[12]	[F1]	[R1E]	[Y7]:	36.00
[12]	[F1]	[R1E]	[Y8]:	26.00
[12]	[F1]	[R1E]	[Y10]:	49.00
